12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,1D
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,20
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,1D
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,20
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,1D
56,53,12,12,12,10,11,12,12,12,12,12,10,11,12,20
54,38,25,57,58,59,11,12,12,12,12,12,10,11,12,1D
5A,5B,5C,12,12,10,11,12,12,12,12,12,10,11,12,20
5D,31,31,30,5E,5F,60,5A,61,61,61,5B,2C,2D,2B,2B
12,62,63,64,65,66,67,68,69,69,69,31,31,31,31,31
12,12,12,12,12,10,11,12,12,12,12,62,34,35,36,36
12,12,12,12,12,6A,15,4F,12,12,12,12,10,11,12,20
6B,12,12,12,12,12,1A,1B,12,12,12,12,10,11,12,1D
03,6C,12,12,12,12,1A,1B,12,12,12,12,10,11,12,20
00,07,6D,12,12,12,1A,1B,12,12,12,12,10,11,12,1D
04,03,6E,12,12,12,1A,1B,12,12,12,12,10,11,12,20
00,07,03,6C,12,3C,15,1B,12,12,12,12,10,11,12,1D
02,01,07,04,12,6F,1A,1B,12,12,12,12,10,11,12,20
04,03,05,70,3C,3F,1A,1B,12,12,12,12,10,11,12,1D
07,06,03,6D,6F,3C,15,1B,12,12,12,12,10,11,12,20
01,00,01,71,72,3D,15,4D,12,12,12,12,10,11,12,1D
02,01,73,74,3C,15,15,11,12,12,12,12,10,11,12,20
04,03,75,72,3D,3E,76,11,12,12,12,12,10,11,12,1D
03,71,3F,3C,15,3F,10,11,12,12,12,12,10,11,12,20
77,6F,12,3D,3E,12,10,11,12,12,12,12,10,11,12,1D
1C,3F,3C,15,3F,12,10,11,12,12,12,12,10,11,12,20
1F,12,3D,3E,12,12,10,78,79,79,79,79,59,11,12,1D
12,3C,15,3F,12,12,10,15,23,23,23,23,24,11,12,20
12,3D,3E,12,12,12,10,11,12,12,12,12,10,11,12,1D
12,1A,1B,12,12,12,10,11,12,12,12,12,10,11,12,20
12,1A,1B,12,12,12,10,11,12,12,12,12,10,11,12,1D
12,1A,1B,12,12,12,10,11,12,12,12,12,10,11,12,20
12,1A,1B,12,12,12,10,11,12,12,12,12,10,11,12,1D
12,1A,1B,12,12,12,10,11,12,12,12,12,10,11,12,20
12,1A,1B,12,12,12,10,11,12,12,12,12,10,11,12,1D
12,1A,1B,12,12,12,10,11,12,12,12,12,10,11,12,20
12,1A,1B,12,12,12,10,11,12,12,12,12,10,11,12,1D
12,1A,1B,12,12,12,19,11,12,12,12,12,54,51,16,20
12,1A,1B,12,12,12,1A,3E,12,12,12,12,12,10,11,1D
12,1A,1B,12,12,12,1A,1B,12,12,12,12,12,10,11,20
12,1A,7A,7B,7C,12,1A,1B,12,12,12,12,12,10,11,1D
12,1A,1B,12,7D,57,15,1B,12,12,12,12,12,10,11,12
12,1A,1B,12,12,12,1A,1B,12,12,12,12,12,10,11,20
12,1A,1B,12,12,12,1A,1B,12,12,12,12,12,10,11,12
12,1A,1B,12,12,12,1A,1B,12,12,12,12,12,10,11,1D
12,1A,1B,12,12,12,1A,1B,12,12,12,12,12,10,11,12
12,1A,1B,12,12,12,1A,1B,12,12,12,12,12,10,11,20
3C,15,3F,12,12,12,1A,1B,12,12,12,12,12,10,11,12
3D,3E,12,12,12,12,1A,1B,12,12,12,12,12,10,11,1D
15,3F,12,12,12,12,1A,1B,12,12,12,12,12,10,11,12
3E,12,12,12,12,12,1A,1B,12,12,12,12,12,10,11,12
1B,12,12,12,12,12,1A,1B,1D,12,12,12,12,10,11,20
1B,12,12,12,12,12,1A,1B,12,12,12,12,12,10,11,12
1B,20,12,12,12,12,1A,1B,12,12,12,12,12,10,11,12
1B,12,12,12,12,12,1A,1B,12,12,12,12,12,10,11,12
1B,12,12,12,12,12,1A,1B,12,12,12,12,12,10,11,12
1B,12,12,12,12,12,1A,1B,12,12,12,12,12,10,11,12
1B,12,12,12,12,12,1A,1B,12,12,12,12,12,10,11,12
1B,12,12,12,12,12,1A,52,53,12,12,12,12,10,11,12
1B,12,12,12,12,12,17,15,52,79,79,79,79,47,78,79
1B,12,12,12,12,12,12,17,15,23,23,23,23,23,23,23
1B,12,12,12,12,12,12,12,17,16,12,12,12,12,12,12
1B,12,12,12,12,12,12,12,12,17,16,12,12,12,12,12
1B,12,12,12,7E,7F,7F,6B,42,80,81,82,7F,7F,7F,7E
1B,12,12,45,03,04,05,06,07,00,01,02,03,04,05,06
83,7F,84,07,00,01,02,03,04,05,06,07,00,01,02,03
00,01,02,03,04,05,06,07,00,01,02,03,04,05,06,07
05,06,07,00,01,02,03,04,05,06,07,00,01,02,03,04
02,03,04,05,06,07,00,01,02,03,04,05,06,07,00,01
00,01,02,03,04,05,06,07,00,01,02,03,04,05,06,07
